model,source,target,regime,T,ece_temp,ece_platt,ece_raw
tinybert-l2,dbpedia-entity,trec-dl-2020,single,6.746783919426322,0.34905374917059856,0.1599657280258738,0.3948999321277538
tinybert-l2,trec-covid,trec-dl-2020,single,6.475647754267066,0.3497610569807412,0.34824244289745077,0.3948999321277538
tinybert-l2,trec-dl-2019,trec-dl-2020,single,8.451099133079314,0.3455817711487481,0.17026476902656681,0.3948999321277538
tinybert-l2,webis-touche2020,trec-dl-2020,single,11.081017457656968,0.34225677542396304,0.6004810541521396,0.3948999321277538
tinybert-l2,LODO,trec-dl-2020,lodo,7.190045339170451,0.348002836291655,0.2098796508704355,0.3948999321277538
tinybert-l2,webis-touche2020,webis-touche2020,oracle,11.081017457656968,0.2443748899975663,0.060282551639199544,0.3388698973704668
tinybert-l2,dbpedia-entity,webis-touche2020,single,6.746783919426322,0.2603746533581296,0.4318971705390912,0.3388698973704668
tinybert-l2,trec-covid,webis-touche2020,single,6.475647754267066,0.26764483412481704,0.2689952543782393,0.3388698973704668
tinybert-l2,trec-dl-2019,webis-touche2020,single,8.451099133079314,0.267991507531337,0.42206588607215356,0.3388698973704668
tinybert-l2,trec-dl-2020,webis-touche2020,single,10.691411076349695,0.24615450672008707,0.5730941709346669,0.3388698973704668
tinybert-l2,LODO,webis-touche2020,lodo,7.768527479361049,0.26614643905147817,0.4419705886352304,0.3388698973704668
bge-reranker,dbpedia-entity,dbpedia-entity,oracle,2.9622344136277925,0.10694710886464144,0.0277744577922117,0.15928595726187778
bge-reranker,trec-covid,dbpedia-entity,single,4.386437927254441,0.1213105854626394,0.13953304095134675,0.15928595726187778
bge-reranker,trec-dl-2019,dbpedia-entity,single,3.2930198261318417,0.11076897523601027,0.03954967969535788,0.15928595726187778
bge-reranker,trec-dl-2020,dbpedia-entity,single,3.374813469346393,0.11133122681172498,0.16536512657017333,0.15928595726187778
bge-reranker,webis-touche2020,dbpedia-entity,single,6.78039382151909,0.14472088926927998,0.4004878089213228,0.15928595726187778
bge-reranker,LODO,dbpedia-entity,lodo,3.722217043267009,0.11364093908775974,0.04163774560101196,0.15928595726187778
bge-reranker,trec-covid,trec-covid,oracle,4.386437927254441,0.037300807860078715,0.041352451117748976,0.22759934087949446
bge-reranker,dbpedia-entity,trec-covid,single,2.9622344136277925,0.07947082777900923,0.08321526518056944,0.22759934087949446
bge-reranker,trec-dl-2019,trec-covid,single,3.2930198261318417,0.06905719330930873,0.11132529354881815,0.22759934087949446
bge-reranker,trec-dl-2020,trec-covid,single,3.374813469346393,0.066670981877761,0.2779222711154218,0.22759934087949446
bge-reranker,webis-touche2020,trec-covid,single,6.78039382151909,0.055323788636847386,0.19513868703643944,0.22759934087949446
