model,dataset,n_judged,prevalence,n_pos,n_neg,n_minority,valid,raw_ece,raw_mce,raw_brier,raw_ece_full,temp_T,temp_ece,platt_ece,iso_ece,model_group
bge-large,scidocs,1774,0.9487034949267192,1683,91,91,False,0.7873917453874565,0.9105076091607851,0.7305654717227226,0.7792159210421742,999.9999786032619,0.449089699354129,0.00774923484670616,0.014862183906202798,extension
bge-large,trec-covid,3475,0.6241726618705036,2169,1306,1306,True,0.19398310617123035,0.3332615669355176,0.23608043164311643,0.1901187372795936,3.463096200390994,0.045033508918550104,0.032740201444390604,0.02290705695134314,extension
bge-large,trec-dl-2019,4612,0.34952298352124894,1612,3000,1612,True,0.17170595056496618,0.4075857659965955,0.20991932475759922,0.15208275728746262,2.7574185841201313,0.05966915722638352,0.044721744665424,0.03544157566007422,extension
bge-large,trec-dl-2020,5686,0.16865986633837496,959,4727,959,True,0.16743524257748504,0.5170920634649153,0.1696600547691937,0.15706829593807325,2.2566991678687702,0.18643394209089204,0.019009422884757873,0.01960138236271882,extension
bge-large,webis-touche2020,635,0.7795275590551181,495,140,140,True,0.3201518353034551,0.7489312934750797,0.2911678640960115,0.298596600096551,6.00355189169557,0.2608877551504031,0.09149543064544143,0.07942481698830998,extension
mxbai-base,dbpedia-entity,9182,0.34698322805489,3186,5996,3186,True,0.1219121390136017,0.3167031849237155,0.18117353060748562,0.12447864281669271,2.0652071082200107,0.08535453487162478,0.017596903807509275,0.024101162080049733,extension
mxbai-base,scidocs,1774,0.9487034949267192,1683,91,91,False,0.6250402553367578,0.8651555695498075,0.507554649196739,0.6204672604985016,999.99997866688,0.448441590744872,0.010096669128723607,0.013641868860751805,extension
mxbai-base,trec-covid,3475,0.6241726618705036,2169,1306,1306,True,0.06047914965658025,0.16868873184667393,0.15714601433488992,0.05527806788924036,1.4394017300602717,0.03744231314015136,0.03654989433756089,0.029954104876595507,extension
mxbai-base,trec-dl-2019,4612,0.34952298352124894,1612,3000,1612,True,0.10220413000140496,0.24869335211811983,0.181955769173524,0.09471577921043221,1.7864719493448995,0.08192958916951204,0.04673205223307564,0.031673662167729336,extension
mxbai-base,trec-dl-2020,5686,0.16865986633837496,959,4727,959,True,0.21122274235595878,0.5933550339620846,0.20397042385203187,0.20565507275217754,2.269156494271966,0.24593009164574928,0.03330507283067508,0.016361190315905622,extension
mxbai-base,webis-touche2020,635,0.7795275590551181,495,140,140,True,0.1821213775276294,0.4825192157571888,0.18660339701039325,0.1992123691848498,2.3907697988682624,0.16438163587512622,0.07879341293460819,0.06189809446132554,extension
