model,dataset,method,tau,precision,coverage,n_accepted,n_test,gap,prevalence
minilm-l6,trec-dl-2020,temp,0.9,,0.0,0,2843,,0.16848399577910658
minilm-l6,trec-dl-2020,platt,0.5,0.5725490196078431,0.08969398522687302,255,2843,-0.0725490196078431,0.16848399577910658
minilm-l6,trec-dl-2020,platt,0.6,0.6055045871559633,0.03833978192050651,109,2843,-0.005504587155963359,0.16848399577910658
minilm-l6,trec-dl-2020,platt,0.7,,0.006683081252198382,19,2843,,0.16848399577910658
minilm-l6,trec-dl-2020,platt,0.8,,0.0,0,2843,,0.16848399577910658
minilm-l6,trec-dl-2020,platt,0.9,,0.0,0,2843,,0.16848399577910658
minilm-l6,trec-dl-2020,iso,0.5,0.544891640866873,0.1136123812873725,323,2843,-0.04489164086687303,0.16848399577910658
minilm-l6,trec-dl-2020,iso,0.6,0.6382978723404256,0.016531832571227575,47,2843,-0.03829787234042559,0.16848399577910658
minilm-l6,trec-dl-2020,iso,0.7,0.6304347826086957,0.01618009145269082,46,2843,0.06956521739130428,0.16848399577910658
minilm-l6,trec-dl-2020,iso,0.8,,0.007034822370735139,20,2843,,0.16848399577910658
minilm-l6,trec-dl-2020,iso,0.9,,0.006331340133661625,18,2843,,0.16848399577910658
minilm-l6,trec-dl-2020,temp_lodo,0.5,0.27492260061919505,0.5680619064368625,1615,2843,0.22507739938080495,0.16848399577910658
minilm-l6,trec-dl-2020,temp_lodo,0.6,0.33666666666666667,0.4220893422441083,1200,2843,0.2633333333333333,0.16848399577910658
minilm-l6,trec-dl-2020,temp_lodo,0.7,0.43175487465181056,0.2525501231093915,718,2843,0.2682451253481894,0.16848399577910658
minilm-l6,trec-dl-2020,temp_lodo,0.8,0.5805084745762712,0.08301090397467464,236,2843,0.21949152542372885,0.16848399577910658
minilm-l6,trec-dl-2020,temp_lodo,0.9,,0.0,0,2843,,0.16848399577910658
minilm-l6,webis-touche2020,raw,0.5,0.8504273504273504,0.7358490566037735,234,318,-0.3504273504273504,0.779874213836478
minilm-l6,webis-touche2020,raw,0.6,0.8471615720524017,0.720125786163522,229,318,-0.24716157205240175,0.779874213836478
minilm-l6,webis-touche2020,raw,0.7,0.8486238532110092,0.6855345911949685,218,318,-0.14862385321100924,0.779874213836478
minilm-l6,webis-touche2020,raw,0.8,0.8461538461538461,0.6540880503144654,208,318,-0.0461538461538461,0.779874213836478
minilm-l6,webis-touche2020,raw,0.9,0.8385416666666666,0.6037735849056604,192,318,0.06145833333333339,0.779874213836478
minilm-l6,webis-touche2020,temp,0.5,0.8504273504273504,0.7358490566037735,234,318,-0.3504273504273504,0.779874213836478
minilm-l6,webis-touche2020,temp,0.6,0.8426395939086294,0.6194968553459119,197,318,-0.24263959390862944,0.779874213836478
minilm-l6,webis-touche2020,temp,0.7,0.821656050955414,0.4937106918238994,157,318,-0.1216560509554141,0.779874213836478
minilm-l6,webis-touche2020,temp,0.8,0.7341772151898734,0.24842767295597484,79,318,0.0658227848101266,0.779874213836478
minilm-l6,webis-touche2020,temp,0.9,,0.006289308176100629,2,318,,0.779874213836478
minilm-l6,webis-touche2020,platt,0.5,0.7947882736156352,0.9654088050314465,307,318,-0.2947882736156352,0.779874213836478
minilm-l6,webis-touche2020,platt,0.6,0.8076923076923077,0.89937106918239,286,318,-0.20769230769230773,0.779874213836478
minilm-l6,webis-touche2020,platt,0.7,0.8404669260700389,0.8081761006289309,257,318,-0.14046692607003897,0.779874213836478
minilm-l6,webis-touche2020,platt,0.8,0.839572192513369,0.5880503144654088,187,318,-0.039572192513368964,0.779874213836478
minilm-l6,webis-touche2020,platt,0.9,0.5675675675675675,0.11635220125786164,37,318,0.3324324324324325,0.779874213836478
minilm-l6,webis-touche2020,iso,0.5,0.8062283737024222,0.9088050314465409,289,318,-0.3062283737024222,0.779874213836478
minilm-l6,webis-touche2020,iso,0.6,0.8371212121212122,0.8301886792452831,264,318,-0.23712121212121218,0.779874213836478
minilm-l6,webis-touche2020,iso,0.7,0.8371212121212122,0.8301886792452831,264,318,-0.1371212121212122,0.779874213836478
minilm-l6,webis-touche2020,iso,0.8,0.8365019011406845,0.8270440251572327,263,318,-0.03650190114068441,0.779874213836478
minilm-l6,webis-touche2020,iso,0.9,,0.0,0,318,,0.779874213836478
minilm-l6,webis-touche2020,temp_lodo,0.5,0.8504273504273504,0.7358490566037735,234,318,-0.3504273504273504,0.779874213836478
minilm-l6,webis-touche2020,temp_lodo,0.6,0.839572192513369,0.5880503144654088,187,318,-0.23957219251336903,0.779874213836478
minilm-l6,webis-touche2020,temp_lodo,0.7,0.7966101694915254,0.3710691823899371,118,318,-0.09661016949152545,0.779874213836478
minilm-l6,webis-touche2020,temp_lodo,0.8,,0.09119496855345911,29,318,,0.779874213836478
minilm-l6,webis-touche2020,temp_lodo,0.9,,0.0,0,318,,0.779874213836478
minilm-l12,dbpedia-entity,raw,0.5,0.4882234185733513,0.6473535177521237,2972,4591,0.011776581426648725,0.34698322805489
minilm-l12,dbpedia-entity,raw,0.6,0.5005261311820414,0.6209976040078414,2851,4591,0.09947386881795861,0.34698322805489
minilm-l12,dbpedia-entity,raw,0.7,0.5093235831809872,0.5957307776083642,2735,4591,0.1906764168190127,0.34698322805489
minilm-l12,dbpedia-entity,raw,0.8,0.5257851880573866,0.5617512524504465,2579,4591,0.27421481194261343,0.34698322805489
minilm-l12,dbpedia-entity,raw,0.9,0.5565142364106989,0.5049008930516228,2318,4591,0.34348576358930116,0.34698322805489
minilm-l12,dbpedia-entity,temp,0.5,0.4882234185733513,0.6473535177521237,2972,4591,0.011776581426648725,0.34698322805489
minilm-l12,dbpedia-entity,temp,0.6,0.5734553775743707,0.4759311696798083,2185,4591,0.026544622425629272,0.34698322805489
minilm-l12,dbpedia-entity,temp,0.7,0.7074198988195616,0.2583315181877587,1186,4591,-0.007419898819561621,0.34698322805489
minilm-l12,dbpedia-entity,temp,0.8,0.9523809523809523,0.03201916793726857,147,4591,-0.15238095238095228,0.34698322805489
minilm-l12,dbpedia-entity,temp,0.9,,0.0,0,4591,,0.34698322805489
minilm-l12,dbpedia-entity,platt,0.5,0.6738983050847458,0.32128076671749073,1475,4591,-0.1738983050847458,0.34698322805489
minilm-l12,dbpedia-entity,platt,0.6,0.7403751233958539,0.22064909605750382,1013,4591,-0.1403751233958539,0.34698322805489
minilm-l12,dbpedia-entity,platt,0.7,0.8201680672268907,0.12960139403180135,595,4591,-0.12016806722689077,0.34698322805489
minilm-l12,dbpedia-entity,platt,0.8,0.9431818181818182,0.03833587453713788,176,4591,-0.1431818181818182,0.34698322805489
minilm-l12,dbpedia-entity,platt,0.9,,0.0,0,4591,,0.34698322805489
minilm-l12,dbpedia-entity,iso,0.5,0.7021445591739476,0.27423219342191246,1259,4591,-0.20214455917394758,0.34698322805489
minilm-l12,dbpedia-entity,iso,0.6,0.7670915411355735,0.18797647571335221,863,4591,-0.16709154113557356,0.34698322805489
minilm-l12,dbpedia-entity,iso,0.7,0.8329938900203666,0.10694837725985624,491,4591,-0.13299389002036666,0.34698322805489
