model,dataset,raw_ece,raw_mce,raw_brier,temp_T,temp_ece,temp_mce,temp_brier,temp_delta_ece,platt_coef,platt_intercept,platt_ece,platt_mce,platt_brier,platt_delta_ece,iso_ece,iso_mce,iso_brier,iso_delta_ece
minilm-l12,nfcorpus,0.6009723361932607,0.9900138499215245,0.538018545994554,19.999996219051077,0.5210982561725297,0.6169644296169281,0.2754780789414756,-0.07987408002073104,,,,,,,0.0,0.0,0.0,-0.6009723361932607
minilm-l12,fiqa,0.2331648369778007,0.9862221870571375,0.16556829134613635,2.8052850434757195,0.3162572526584857,0.9582897424697876,0.15569882046984082,0.08309241568068501,,,,,,,0.0,0.0,0.0,-0.2331648369778007
minilm-l12,scifact,0.21484732670371962,0.9854492079466581,0.16405862576864602,4.297429372449395,0.3442233572870293,0.9048788994550705,0.15800458766691453,0.12937603058330968,,,,,,,0.0,0.0,0.0,-0.21484732670371962
minilm-l12,arguana,0.2782690808443086,0.9809482600539923,0.1915400029753835,2.4285875716521543,0.3486115617060462,0.971009423956275,0.1793400432626546,0.07034248086173756,,,,,,,0.0,0.0,0.0,-0.2782690808443086
minilm-l12,scidocs,0.4877939052153232,0.8576748190528672,0.42048646725324046,19.99999476738354,0.4580673321056796,0.4882366674741109,0.2550061811721654,-0.02972657310964355,0.264349500446382,3.722144920413919,0.01706814463539078,0.23170122702916462,0.043400717867569716,-0.4707257605799324,0.015405324864145569,0.5588481426239014,0.044996102320505035,-0.4723885803511776
minilm-l12,webis-touche2020,0.16631201954570202,0.690962553024292,0.17907552276119773,3.9736120170810643,0.15985817176366005,0.436718225479126,0.16999309231166004,-0.0064538477820419715,0.17339948037498767,0.7223074881095674,0.11010894235574972,0.27327827846302705,0.15749225512166404,-0.056203077189952294,0.03773983820991694,0.23809523738565896,0.15135332355991085,-0.12857218133578507
minilm-l12,quora,0.08182177907482652,0.980112237855792,0.045271906886508936,1.109156709356754,0.08730431651938501,0.9836594089865685,0.04533664041712449,0.005482537444558497,,,,,,,0.0,0.0,0.0,-0.08182177907482652
minilm-l12,dbpedia-entity,0.31344811660644345,0.646557059844685,0.30853142162359876,6.588227321871549,0.22146623424392098,0.33797364433606464,0.21857479126657503,-0.09198188236252247,0.3323771370195872,-1.6062430038114683,0.028152087640461124,0.12487161159515381,0.16109029508695527,-0.28529602896598233,0.018642205963257327,0.07543568540427645,0.16087724975672418,-0.2948059106431861
tinybert-l2,trec-covid,0.2760267762126459,0.33898030072450636,0.2863520365948646,6.475646724716709,0.05535986472534228,0.14370048089303833,0.20634664972989075,-0.2206669114873036,0.15512254116667146,-0.007653151028564015,0.05671596110415815,0.14308285756387573,0.206327326663584,-0.2193108151084877,0.03333095417404065,0.5,0.2054507460428497,-0.24269582203860524
tinybert-l2,nfcorpus,0.7669283326688373,0.9941992512904108,0.727414533089851,19.99999309523735,0.5518828895936665,0.6197938621044159,0.3088119860888125,-0.21504544307517082,,,,,,,0.0,0.0,0.0,-0.7669283326688373
tinybert-l2,fiqa,0.40478807300693864,0.9882867923006415,0.3436061189502516,15.871785490214364,0.4845013310196538,0.6228097379207611,0.24051157783560778,0.07971325801271517,,,,,,,0.0,0.0,0.0,-0.40478807300693864
tinybert-l2,scifact,0.32898199105097736,0.9857400460168719,0.28167635343637526,6.265832162784695,0.42350863810353634,0.8325991928577423,0.21148210406169995,0.09452664705255898,,,,,,,0.0,0.0,0.0,-0.32898199105097736
